"location","indicator","Unit","Date","Value"
"Alaska","1 Adult","US $","2016","11.98"
"Alaska","1 Adult","US $","2018","12.89"
"Alaska","1 Adult","US $","2019","12.75"
"Alaska","1 Adult","US $","2020","15.85"
"Alaska","1 Adult","US $","2021","15.06"
"Alaska","1 Adult","US $","2022","16.72"
"Alaska","1 Adult 1 Child","US $","2016","24.75"
"Alaska","1 Adult 1 Child","US $","2018","27.49"
"Alaska","1 Adult 1 Child","US $","2019","27.3"
"Alaska","1 Adult 1 Child","US $","2020","31.23"
"Alaska","1 Adult 1 Child","US $","2021","29.86"
"Alaska","1 Adult 1 Child","US $","2022","32.63"
"Alaska","1 Adult 2 Children","US $","2016","31.07"
"Alaska","1 Adult 2 Children","US $","2018","32.97"
"Alaska","1 Adult 2 Children","US $","2019","33.17"
"Alaska","1 Adult 2 Children","US $","2020","37.88"
"Alaska","1 Adult 2 Children","US $","2021","37.09"
"Alaska","1 Adult 2 Children","US $","2022","40.75"
"Alaska","1 Adult 3 Children","US $","2016","40.31"
"Alaska","1 Adult 3 Children","US $","2018","42.4"
"Alaska","1 Adult 3 Children","US $","2019","42.53"
"Alaska","1 Adult 3 Children","US $","2020","50.54"
"Alaska","1 Adult 3 Children","US $","2021","48.86"
"Alaska","1 Adult 3 Children","US $","2022","54.63"
"Alaska","2 Adults (1 Working)","US $","2016","18.92"
"Alaska","2 Adults (1 Working)","US $","2018","19.69"
"Alaska","2 Adults (1 Working)","US $","2019","19.95"
"Alaska","2 Adults (1 Working)","US $","2020","24.87"
"Alaska","2 Adults (1 Working)","US $","2021","23.38"
"Alaska","2 Adults (1 Working)","US $","2022","25.74"
"Alaska","2 Adults (1 Working) 1 Child","US $","2016","23.6"
"Alaska","2 Adults (1 Working) 1 Child","US $","2018","24.33"
"Alaska","2 Adults (1 Working) 1 Child","US $","2019","24.39"
"Alaska","2 Adults (1 Working) 1 Child","US $","2020","29.09"
"Alaska","2 Adults (1 Working) 1 Child","US $","2021","28.12"
"Alaska","2 Adults (1 Working) 1 Child","US $","2022","31.08"
"Alaska","2 Adults (1 Working) 2 Children","US $","2016","26.17"
"Alaska","2 Adults (1 Working) 2 Children","US $","2018","26.94"
"Alaska","2 Adults (1 Working) 2 Children","US $","2019","26.93"
"Alaska","2 Adults (1 Working) 2 Children","US $","2020","33.68"
