"COUNTRY","Country","PAYP","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","H","Hourly","2010","2010","CAD","Canadian Dollar","0","Units",,,9.35,,
"CAN","Canada","H","Hourly","2011","2011","CAD","Canadian Dollar","0","Units",,,9.65,,
"CAN","Canada","H","Hourly","2012","2012","CAD","Canadian Dollar","0","Units",,,9.98,,
"CAN","Canada","H","Hourly","2013","2013","CAD","Canadian Dollar","0","Units",,,10.14,,
"CAN","Canada","H","Hourly","2014","2014","CAD","Canadian Dollar","0","Units",,,10.4,,
"CAN","Canada","H","Hourly","2015","2015","CAD","Canadian Dollar","0","Units",,,10.68,,
"CAN","Canada","H","Hourly","2016","2016","CAD","Canadian Dollar","0","Units",,,11,,
"CAN","Canada","H","Hourly","2017","2017","CAD","Canadian Dollar","0","Units",,,11.37,,
"CAN","Canada","H","Hourly","2018","2018","CAD","Canadian Dollar","0","Units",,,12.85,,
"CAN","Canada","H","Hourly","2019","2019","CAD","Canadian Dollar","0","Units",,,13.32,,
"CAN","Canada","H","Hourly","2020","2020","CAD","Canadian Dollar","0","Units",,,13.66,,
"PRT","Portugal","M","Monthly","2010","2010","EUR","Euro","0","Units",,,554.17,,
"PRT","Portugal","M","Monthly","2011","2011","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2012","2012","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2013","2013","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2014","2014","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2015","2015","EUR","Euro","0","Units",,,589.17,,
"PRT","Portugal","M","Monthly","2016","2016","EUR","Euro","0","Units",,,618.33,,
"PRT","Portugal","M","Monthly","2017","2017","EUR","Euro","0","Units",,,649.83,,
"PRT","Portugal","M","Monthly","2018","2018","EUR","Euro","0","Units",,,676.67,,
"PRT","Portugal","M","Monthly","2019","2019","EUR","Euro","0","Units",,,700,,
"PRT","Portugal","M","Monthly","2020","2020","EUR","Euro","0","Units",,,740.8,,
"PRT","Portugal","M","Monthly","2021","2021","EUR","Euro","0","Units",,,775.8,,
"NLD","Netherlands","A","Annual","2010","2010","EUR","Euro","0","Units",,,18297,,
"NLD","Netherlands","A","Annual","2011","2011","EUR","Euro","0","Units",,,18427,,
"NLD","Netherlands","A","Annual","2012","2012","EUR","Euro","0","Units",,,18810,,
"NLD","Netherlands","A","Annual","2013","2013","EUR","Euro","0","Units",,,19044,,
"NLD","Netherlands","A","Annual","2014","2014","EUR","Euro","0","Units",,,19316,,
"NLD","Netherlands","A","Annual","2015","2015","EUR","Euro","0","Units",,,19464,,
"NLD","Netherlands","A","Annual","2016","2016","EUR","Euro","0","Units",,,19841,,
"NLD","Netherlands","A","Annual","2017","2017","EUR","Euro","0","Units",,,20198,,
"NLD","Netherlands","A","Annual","2018","2018","EUR","Euro","0","Units",,,20556,,
"NLD","Netherlands","A","Annual","2019","2019","EUR","Euro","0","Units",,,21069,,
"NLD","Netherlands","A","Annual","2020","2020","EUR","Euro","0","Units",,,21602,,
"NLD","Netherlands","A","Annual","2021","2021","EUR","Euro","0","Units",,,21940,,
"EST","Estonia","M","Monthly","2010","2010","EUR","Euro","0","Units",,,278.02,,
